ProductId,Sku,ProductName,Brand,Category,Subcategory,Uom,UnitsPerCase,UnitWeightKg,UnitVolumeM3,TemperatureZone,IsPerishable,ShelfLifeDays,StandardCost,ListPrice,LaunchDate,DiscontinueDate
187,SKU0000187,Product 000187,Atlas,HOUSEHOLD,HOUSEHOLD_CORE,EA,11,1.262,0.1157,Ambient,False,,3.6,6.39,25,
188,SKU0000188,Product 000188,Verde,APPAREL,APPAREL_CORE,EA,9,0.645,0.2082,Ambient,False,,13.05,22.02,157,
189,SKU0000189,Product 000189,Harbor,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,10,1.816,0.0589,Ambient,False,,7.38,11.11,77,
190,SKU0000190,Product 000190,Nimbus,SEASONAL,SEASONAL_CORE,EA,12,0.329,0.117,Ambient,False,,7.68,12.5,169,
191,SKU0000191,Product 000191,Verde,GROCERY,GROCERY_CORE,EA,5,1.322,0.3036,Ambient,True,71.0,14.0,20.98,173,
192,SKU0000192,Product 000192,Orion,BEVERAGE,BEVERAGE_CORE,CASE,9,3.613,0.3063,Chilled,True,32.0,12.29,15.3,45,
193,SKU0000193,Product 000193,Atlas,GROCERY,GROCERY_CORE,EA,3,1.605,0.0795,Ambient,True,67.0,6.41,8.59,59,
194,SKU0000194,Product 000194,Nimbus,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,9,0.653,0.1452,Ambient,False,,10.48,13.47,128,
195,SKU0000195,Product 000195,Atlas,BEVERAGE,BEVERAGE_CORE,CASE,7,4.308,0.1895,Ambient,True,83.0,4.79,7.0,55,
196,SKU0000196,Product 000196,Northwind,SEASONAL,SEASONAL_CORE,EA,10,1.301,0.0939,Ambient,False,,7.6,11.02,52,
197,SKU0000197,Product 000197,Atlas,GROCERY,GROCERY_CORE,EA,6,1.008,0.2278,Ambient,True,53.0,3.65,6.21,178,
198,SKU0000198,Product 000198,Harbor,SEASONAL,SEASONAL_CORE,EA,1,0.557,0.1136,Ambient,False,,16.19,18.91,64,
199,SKU0000199,Product 000199,Harbor,PERSONAL_CARE,PERSONAL_CARE_CORE,EA,1,1.198,0.0861,Ambient,False,,3.58,5.9,127,
200,SKU0000200,Product 000200,Northwind,GROCERY,GROCERY_CORE,EA,7,4.482,0.2645,Ambient,True,107.0,2.48,3.59,77,
