ShipmentLineId,ShipmentId,LineNumber,SalesOrderLine,Product,OriginLocation,DestinationLocation,ShipDate,DeliveryDate,ShippedQty,CarrierName,ServiceLevel,PlannedTransitDays,ActualTransitDays,FreightCost,ShipmentStatus,DelayReason
272,500272,1,779,187,30,10,5,6.0,3,BlueRoad,Ground,2,1.0,4.0,Delivered,
273,500273,1,780,40,5,24,34,36.0,1,ParcelEx,Ground,3,2.0,4.0,Delivered,
274,500274,1,783,106,9,40,166,168.0,1,ParcelEx,Ground,2,2.0,4.0,Delivered,
275,500275,1,787,69,9,24,9,10.0,4,NorthCarrier,Ground,2,1.0,7.24,Delivered,
276,500276,1,790,83,1,39,123,124.0,1,ParcelEx,Ground,1,1.0,4.0,Delivered,
277,500277,1,791,149,32,3,56,59.0,1,ParcelEx,Ground,3,3.0,4.0,Delivered,
278,500278,1,801,161,23,3,31,39.0,1,LineHaulOne,Express,5,8.0,4.0,Delayed,Capacity
279,500279,1,804,146,25,2,137,140.0,1,BlueRoad,Ground,3,3.0,4.0,Delivered,
280,500280,1,805,18,32,33,40,41.0,1,NorthCarrier,Express,1,1.0,4.0,Delivered,
281,500281,1,806,162,14,22,52,55.0,1,ParcelEx,Express,2,3.0,4.0,Delivered,
282,500282,1,810,189,1,16,121,124.0,1,NorthCarrier,Ground,3,3.0,4.0,Delivered,
283,500283,1,819,162,30,3,98,99.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
284,500284,1,827,117,25,16,78,82.0,1,BlueRoad,Express,5,4.0,4.0,Delivered,
285,500285,1,831,11,31,33,57,60.0,3,LineHaulOne,Express,4,3.0,5.97,Delivered,
286,500286,1,832,62,18,28,16,19.0,1,ParcelEx,Ground,2,3.0,4.0,Delayed,Capacity
287,500287,1,835,92,31,35,171,172.0,1,LineHaulOne,Ground,1,1.0,4.0,Delivered,
288,500288,1,836,50,23,33,156,157.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
289,500289,1,842,189,18,3,113,116.0,3,BlueRoad,Ground,4,3.0,4.0,Delivered,
290,500290,1,843,36,9,12,59,61.0,1,BlueRoad,Ground,2,2.0,4.0,Delivered,
291,500291,1,845,22,31,22,176,178.0,1,LineHaulOne,Express,1,2.0,4.0,Delivered,
292,500292,1,846,121,30,11,132,137.0,2,ParcelEx,Ground,4,5.0,4.0,Delivered,
293,500293,1,851,80,32,3,33,36.0,2,BlueRoad,Ground,4,3.0,4.0,Delivered,
294,500294,1,852,197,31,40,40,42.0,1,LineHaulOne,Ground,3,2.0,4.0,Delivered,
295,500295,1,856,197,5,40,47,48.0,1,BlueRoad,Express,1,1.0,4.0,Delivered,
296,500296,1,858,159,9,3,92,95.0,1,ParcelEx,Ground,4,3.0,4.0,Delivered,
297,500297,1,866,180,25,16,164,166.0,1,BlueRoad,Economy,1,2.0,4.0,Delivered,
298,500298,2,866,180,25,16,165,167.0,1,ParcelEx,Ground,1,2.0,4.0,Delivered,
299,500299,1,869,80,30,35,148,150.0,2,NorthCarrier,Ground,1,2.0,4.0,Delivered,
300,500300,1,870,192,9,16,125,130.0,2,NorthCarrier,Express,3,5.0,4.12,Delayed,Capacity
301,500301,1,874,198,5,16,6,9.0,1,ParcelEx,Ground,2,3.0,4.0,Delivered,
302,500302,1,878,45,18,10,180,180.0,1,ParcelEx,Economy,3,2.0,4.0,Delivered,
303,500303,1,879,90,9,13,37,40.0,1,LineHaulOne,Ground,2,3.0,4.0,Delivered,
304,500304,1,882,91,1,3,163,165.0,1,ParcelEx,Ground,3,2.0,4.0,Delivered,
305,500305,1,889,62,1,10,129,130.0,1,NorthCarrier,Economy,1,1.0,4.0,Delivered,
306,500306,1,890,43,30,22,145,149.0,1,LineHaulOne,Express,5,4.0,4.0,Delivered,
307,500307,1,891,78,30,22,151,154.0,1,BlueRoad,Ground,4,3.0,4.0,Delivered,
308,500308,1,893,65,18,3,153,160.0,2,LineHaulOne,Ground,4,7.0,4.0,Delayed,Customs
309,500309,1,901,92,9,12,180,180.0,1,ParcelEx,Ground,4,4.0,4.0,Delivered,
310,500310,1,907,143,9,16,27,33.0,2,ParcelEx,Ground,5,6.0,4.0,Delivered,
311,500311,1,908,125,31,7,112,116.0,1,ParcelEx,Express,5,4.0,4.0,Delivered,
312,500312,1,909,55,25,16,133,137.0,1,NorthCarrier,Ground,4,4.0,4.0,Delivered,
313,500313,1,918,157,30,28,6,8.0,1,NorthCarrier,Ground,3,2.0,4.0,Delivered,
314,500314,1,920,80,9,16,6,8.0,1,ParcelEx,Ground,1,2.0,4.0,Delivered,
315,500315,1,922,91,32,38,46,53.0,1,LineHaulOne,Ground,4,7.0,4.0,Delayed,Capacity
316,500316,2,922,91,32,38,45,48.0,1,ParcelEx,Ground,3,3.0,4.0,Delivered,
317,500317,1,924,113,31,24,43,45.0,1,NorthCarrier,Ground,3,2.0,4.0,Delivered,
318,500318,1,927,57,25,16,43,47.0,1,ParcelEx,Economy,5,4.0,4.0,Delivered,
319,500319,1,929,114,14,10,9,13.0,1,LineHaulOne,Ground,4,4.0,4.0,Delivered,
320,500320,1,934,104,32,8,51,55.0,3,LineHaulOne,Express,5,4.0,5.23,Delivered,
321,500321,1,947,192,23,37,31,40.0,1,ParcelEx,Ground,5,9.0,4.0,Delayed,Customs
322,500322,1,948,69,32,33,179,,1,ParcelEx,Ground,4,,4.0,InTransit,
323,500323,1,959,124,14,3,95,99.0,1,NorthCarrier,Ground,5,4.0,4.0,Delivered,
324,500324,1,962,58,32,29,56,64.0,2,BlueRoad,Express,5,8.0,4.0,Delayed,Customs
325,500325,1,964,69,9,27,105,111.0,1,NorthCarrier,Express,5,6.0,4.0,Delivered,
326,500326,1,965,15,9,38,37,43.0,1,ParcelEx,Ground,5,6.0,4.0,Delivered,
327,500327,1,968,37,5,3,60,63.0,2,BlueRoad,Ground,2,3.0,4.0,Delivered,
328,500328,1,976,119,9,35,111,117.0,1,BlueRoad,Ground,5,6.0,4.0,Delivered,
329,500329,1,982,2,14,13,32,34.0,1,NorthCarrier,Express,1,2.0,4.0,Delayed,HubCongestion
330,500330,1,983,179,5,27,172,174.0,2,NorthCarrier,Ground,1,2.0,4.0,Delivered,
331,500331,1,987,190,1,3,57,62.0,2,LineHaulOne,Economy,5,5.0,4.0,Delivered,
332,500332,1,997,185,18,3,100,102.0,1,BlueRoad,Ground,2,2.0,4.0,Delivered,
333,500333,1,999,200,18,20,31,37.0,3,LineHaulOne,Ground,5,6.0,4.0,Delivered,
334,500334,1,1001,65,14,21,171,173.0,1,NorthCarrier,Express,3,2.0,4.0,Delivered,
335,500335,1,1005,91,23,20,136,142.0,1,NorthCarrier,Ground,5,6.0,4.0,Delivered,
336,500336,2,1005,91,23,20,137,141.0,1,LineHaulOne,Ground,2,4.0,4.0,Delayed,Capacity
337,500337,1,1006,135,1,27,33,38.0,4,ParcelEx,Economy,3,5.0,4.0,Delayed,Capacity
338,500338,1,1007,135,25,7,74,78.0,1,ParcelEx,Economy,3,4.0,4.0,Delivered,
339,500339,1,1009,41,5,24,82,86.0,2,ParcelEx,Ground,5,4.0,4.0,Delivered,
340,500340,1,1012,92,32,13,164,167.0,1,ParcelEx,Express,2,3.0,4.0,Delivered,
341,500341,1,1016,15,31,20,142,143.0,1,ParcelEx,Ground,1,1.0,4.0,Delivered,
342,500342,1,1018,100,18,40,162,166.0,1,LineHaulOne,Express,3,4.0,4.0,Delivered,
343,500343,1,1020,169,1,11,165,169.0,1,BlueRoad,Express,4,4.0,4.0,Delivered,
344,500344,1,1025,136,14,35,16,17.0,1,ParcelEx,Ground,1,1.0,4.0,Delivered,
345,500345,1,1031,91,9,24,75,77.0,2,NorthCarrier,Economy,3,2.0,4.0,Delivered,
346,500346,1,1032,110,30,16,6,12.0,1,BlueRoad,Ground,3,6.0,4.0,Delayed,Customs
347,500347,1,1041,111,1,27,73,76.0,2,NorthCarrier,Ground,2,3.0,4.0,Delivered,
348,500348,1,1042,151,31,39,81,83.0,1,BlueRoad,Ground,3,2.0,4.0,Delivered,
349,500349,1,1044,10,23,2,33,37.0,1,BlueRoad,Economy,5,4.0,4.0,Delivered,
350,500350,1,1046,149,32,27,72,74.0,1,NorthCarrier,Ground,2,2.0,4.0,Delivered,
351,500351,1,1047,51,25,27,111,115.0,2,ParcelEx,Ground,5,4.0,4.0,Delivered,
352,500352,1,1050,105,25,34,163,166.0,2,ParcelEx,Ground,2,3.0,4.0,Delivered,
353,500353,1,1053,155,18,28,59,63.0,1,NorthCarrier,Ground,3,4.0,4.0,Delivered,
354,500354,1,1054,2,31,8,150,152.0,1,LineHaulOne,Economy,2,2.0,4.0,Delivered,
355,500355,1,1055,2,30,24,161,163.0,1,ParcelEx,Economy,1,2.0,4.0,Delivered,
356,500356,1,1057,50,32,16,74,76.0,1,LineHaulOne,Ground,2,2.0,4.0,Delivered,
357,500357,2,1057,50,32,16,74,78.0,1,LineHaulOne,Express,5,4.0,4.0,Delivered,
358,500358,1,1059,110,23,20,13,17.0,1,ParcelEx,Express,4,4.0,4.0,Delivered,
359,500359,1,1062,29,23,40,47,52.0,1,LineHaulOne,Ground,4,5.0,4.0,Delivered,
360,500360,1,1066,86,1,36,83,86.0,3,LineHaulOne,Ground,3,3.0,4.94,Delivered,
361,500361,1,1068,104,25,29,146,152.0,1,ParcelEx,Ground,4,6.0,4.0,Delayed,Weather
362,500362,1,1077,174,5,11,65,66.0,1,ParcelEx,Ground,1,1.0,4.0,Delivered,
363,500363,1,1079,192,5,34,65,66.0,2,BlueRoad,Ground,2,1.0,4.0,Delivered,
364,500364,1,1084,113,31,11,47,52.0,1,ParcelEx,Express,5,5.0,4.0,Delivered,
365,500365,1,1086,51,14,22,29,34.0,2,LineHaulOne,Ground,1,5.0,4.0,Delayed,HubCongestion
366,500366,1,1087,71,30,10,126,128.0,1,LineHaulOne,Ground,3,2.0,4.0,Delivered,
367,500367,1,1090,96,9,28,21,23.0,2,BlueRoad,Economy,1,2.0,4.0,Delivered,
368,500368,1,1094,131,18,24,38,40.0,1,BlueRoad,Economy,2,2.0,4.0,Delivered,
369,500369,1,1099,54,14,20,45,50.0,1,ParcelEx,Ground,4,5.0,4.0,Delivered,
370,500370,1,1104,141,14,16,30,32.0,1,BlueRoad,Economy,1,2.0,4.0,Delivered,
371,500371,1,1106,35,31,27,79,81.0,1,LineHaulOne,Express,3,2.0,4.0,Delivered,
372,500372,1,1107,57,9,3,99,101.0,1,BlueRoad,Ground,3,2.0,4.0,Delivered,
373,500373,2,1107,57,9,3,98,100.0,1,BlueRoad,Ground,1,2.0,4.0,Delivered,
374,500374,1,1113,90,32,16,38,39.0,1,NorthCarrier,Express,2,1.0,4.0,Delivered,
375,500375,2,1113,90,32,16,37,40.0,1,NorthCarrier,Economy,3,3.0,4.0,Delivered,
376,500376,1,1115,100,14,2,53,55.0,1,ParcelEx,Economy,1,2.0,4.0,Delivered,
377,500377,1,1123,101,32,3,166,167.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
378,500378,1,1125,58,32,16,154,159.0,1,BlueRoad,Ground,4,5.0,4.0,Delivered,
379,500379,1,1128,88,14,7,54,56.0,1,ParcelEx,Ground,1,2.0,4.0,Delivered,
380,500380,1,1134,197,9,16,49,52.0,2,BlueRoad,Ground,3,3.0,4.0,Delivered,
381,500381,2,1134,197,9,16,50,54.0,1,BlueRoad,Ground,5,4.0,4.0,Delivered,
382,500382,1,1138,91,1,12,91,95.0,1,LineHaulOne,Ground,5,4.0,4.0,Delivered,
383,500383,1,1144,94,31,12,90,94.0,1,LineHaulOne,Ground,5,4.0,4.0,Delivered,
384,500384,1,1145,187,30,38,6,12.0,1,NorthCarrier,Express,5,6.0,4.0,Delayed,Customs
385,500385,1,1149,10,18,27,52,55.0,1,LineHaulOne,Ground,2,3.0,4.0,Delivered,
386,500386,1,1150,193,32,24,49,51.0,2,BlueRoad,Ground,2,2.0,4.0,Delivered,
387,500387,1,1151,143,14,16,101,104.0,1,ParcelEx,Ground,4,3.0,4.0,Delivered,
388,500388,1,1152,62,25,27,54,59.0,1,LineHaulOne,Ground,5,5.0,4.0,Delivered,
389,500389,2,1152,62,25,27,55,59.0,2,BlueRoad,Ground,4,4.0,4.32,Delivered,
390,500390,1,1166,142,30,3,55,56.0,1,ParcelEx,Express,1,1.0,4.0,Delivered,
391,500391,1,1167,102,23,38,104,106.0,2,BlueRoad,Ground,2,2.0,4.0,Delivered,
392,500392,1,1168,87,5,37,67,71.0,1,BlueRoad,Express,4,4.0,4.0,Delivered,
393,500393,1,1170,120,18,11,5,9.0,1,ParcelEx,Ground,2,4.0,4.0,Delayed,Customs
394,500394,1,1173,3,25,36,81,85.0,2,BlueRoad,Ground,5,4.0,4.0,Delivered,
395,500395,1,1182,115,23,20,24,28.0,1,NorthCarrier,Economy,5,4.0,4.0,Delivered,
396,500396,1,1183,180,32,16,172,179.0,1,BlueRoad,Express,3,7.0,4.0,Delayed,Capacity
397,500397,1,1185,90,23,20,11,16.0,1,LineHaulOne,Ground,5,5.0,4.0,Delivered,
398,500398,1,1187,114,14,29,137,140.0,1,LineHaulOne,Ground,4,3.0,4.0,Delivered,
399,500399,2,1187,114,14,29,136,144.0,1,ParcelEx,Economy,4,8.0,4.0,Delayed,Customs
400,500400,1,1188,200,32,3,61,67.0,2,LineHaulOne,Ground,3,6.0,4.0,Delayed,HubCongestion
401,500401,1,1191,158,5,29,53,54.0,1,BlueRoad,Express,1,1.0,4.0,Delivered,
402,500402,1,1198,177,31,38,13,16.0,2,LineHaulOne,Ground,3,3.0,4.0,Delivered,
403,500403,1,1200,65,14,27,5,10.0,1,LineHaulOne,Ground,4,5.0,4.0,Delivered,
404,500404,1,1201,149,1,24,6,11.0,2,ParcelEx,Ground,4,5.0,4.0,Delivered,
405,500405,1,1202,165,18,3,32,36.0,1,LineHaulOne,Express,4,4.0,4.0,Delivered,
406,500406,1,1208,121,31,39,120,124.0,2,LineHaulOne,Ground,3,4.0,4.0,Delivered,
407,500407,1,1210,105,9,27,142,148.0,1,NorthCarrier,Ground,5,6.0,4.0,Delivered,
408,500408,1,1218,57,1,24,77,84.0,2,NorthCarrier,Ground,5,7.0,4.0,Delayed,Weather
409,500409,1,1219,97,5,27,153,155.0,1,BlueRoad,Express,1,2.0,4.0,Delivered,
410,500410,1,1220,20,9,33,55,57.0,1,ParcelEx,Express,2,2.0,4.0,Delivered,
411,500411,1,1225,147,14,3,167,171.0,2,BlueRoad,Economy,3,4.0,4.0,Delivered,
412,500412,1,1229,11,9,27,58,61.0,2,ParcelEx,Ground,4,3.0,4.28,Delivered,
413,500413,1,1245,7,30,16,58,61.0,1,ParcelEx,Ground,4,3.0,4.0,Delivered,
414,500414,1,1250,195,30,16,21,23.0,1,NorthCarrier,Express,1,2.0,4.0,Delivered,
415,500415,1,1252,62,1,16,91,92.0,1,BlueRoad,Ground,1,1.0,4.0,Delivered,
416,500416,1,1254,196,30,27,155,157.0,1,BlueRoad,Ground,3,2.0,4.0,Delivered,
417,500417,1,1259,58,18,12,56,59.0,1,NorthCarrier,Ground,2,3.0,4.0,Delivered,
418,500418,1,1263,180,23,2,75,76.0,2,NorthCarrier,Economy,1,1.0,4.0,Delivered,
419,500419,1,1268,7,30,16,69,75.0,1,BlueRoad,Economy,5,6.0,4.0,Delivered,
420,500420,1,1272,17,32,27,66,69.0,1,ParcelEx,Economy,3,3.0,4.0,Delivered,
421,500421,1,1274,29,14,33,108,113.0,1,ParcelEx,Ground,4,5.0,4.0,Delivered,
422,500422,1,1277,153,30,40,9,10.0,2,BlueRoad,Ground,1,1.0,4.0,Delivered,
423,500423,1,1282,98,1,28,27,29.0,1,LineHaulOne,Ground,1,2.0,4.0,Delivered,
424,500424,1,1286,19,32,8,139,142.0,2,LineHaulOne,Express,1,3.0,4.0,Delayed,Capacity
425,500425,1,1292,65,32,7,125,128.0,5,NorthCarrier,Ground,4,3.0,8.31,Delivered,
426,500426,1,1294,159,5,28,50,51.0,2,NorthCarrier,Ground,1,1.0,4.01,Delivered,
427,500427,1,1295,19,14,12,68,72.0,1,ParcelEx,Economy,5,4.0,4.0,Delivered,
428,500428,2,1295,19,14,12,68,72.0,1,NorthCarrier,Express,4,4.0,4.0,Delivered,
429,500429,1,1297,9,31,11,145,149.0,1,NorthCarrier,Ground,4,4.0,4.0,Delivered,
430,500430,2,1297,9,31,11,144,147.0,1,LineHaulOne,Ground,2,3.0,4.0,Delivered,
431,500431,1,1298,98,32,27,82,85.0,1,NorthCarrier,Economy,4,3.0,4.0,Delivered,
432,500432,2,1298,98,32,27,81,82.0,1,LineHaulOne,Ground,1,1.0,4.0,Delivered,
433,500433,1,1303,127,31,10,4,5.0,1,NorthCarrier,Ground,1,1.0,4.0,Delivered,
434,500434,1,1304,85,1,37,156,157.0,1,LineHaulOne,Ground,1,1.0,4.0,Delivered,
435,500435,1,1305,120,23,24,92,93.0,1,LineHaulOne,Ground,1,1.0,4.0,Delivered,
436,500436,1,1311,38,31,3,58,61.0,1,LineHaulOne,Express,3,3.0,4.0,Delivered,
437,500437,1,1316,151,14,34,25,27.0,1,BlueRoad,Ground,2,2.0,4.0,Delivered,
438,500438,1,1318,66,5,24,93,95.0,1,BlueRoad,Economy,1,2.0,4.0,Delivered,
439,500439,1,1320,149,5,7,55,57.0,1,BlueRoad,Ground,3,2.0,4.0,Delivered,
440,500440,1,1321,96,1,29,120,121.0,1,ParcelEx,Economy,1,1.0,4.0,Delivered,
441,500441,1,1322,5,5,16,40,43.0,1,NorthCarrier,Ground,2,3.0,4.0,Delivered,
442,500442,1,1328,78,25,8,136,139.0,1,LineHaulOne,Ground,4,3.0,4.0,Delivered,
443,500443,2,1328,78,25,8,137,139.0,1,NorthCarrier,Ground,3,2.0,4.0,Delivered,
444,500444,1,1329,9,14,35,15,19.0,1,ParcelEx,Ground,4,4.0,4.0,Delivered,
445,500445,2,1329,9,14,35,16,20.0,1,LineHaulOne,Ground,3,4.0,4.0,Delivered,
446,500446,1,1332,191,23,33,62,64.0,1,NorthCarrier,Ground,1,2.0,4.0,Delivered,
447,500447,1,1336,177,5,27,159,162.0,1,LineHaulOne,Express,2,3.0,4.0,Delivered,
448,500448,1,1337,36,32,24,29,34.0,4,LineHaulOne,Ground,4,5.0,7.3,Delivered,
449,500449,1,1338,57,5,39,78,83.0,1,BlueRoad,Ground,5,5.0,4.0,Delivered,
450,500450,1,1347,43,1,38,78,79.0,1,ParcelEx,Express,2,1.0,4.0,Delivered,
451,500451,1,1349,152,18,3,50,54.0,2,NorthCarrier,Express,5,4.0,4.0,Delivered,
452,500452,1,1362,150,5,16,91,92.0,1,NorthCarrier,Express,1,1.0,4.0,Delivered,
453,500453,1,1369,146,9,24,147,149.0,1,LineHaulOne,Ground,1,2.0,4.0,Delivered,
454,500454,1,1370,192,30,8,143,144.0,1,LineHaulOne,Economy,1,1.0,4.0,Delivered,
455,500455,1,1372,141,1,2,87,89.0,1,NorthCarrier,Economy,3,2.0,4.0,Delivered,
456,500456,1,1373,90,31,40,95,97.0,1,NorthCarrier,Express,3,2.0,4.0,Delivered,
457,500457,2,1373,90,31,40,95,99.0,1,ParcelEx,Ground,3,4.0,4.0,Delivered,
458,500458,1,1376,30,31,16,26,29.0,1,BlueRoad,Ground,3,3.0,4.0,Delivered,
459,500459,1,1377,80,23,40,148,150.0,1,LineHaulOne,Ground,1,2.0,4.0,Delivered,
460,500460,2,1377,80,23,40,148,149.0,1,NorthCarrier,Express,1,1.0,4.0,Delivered,
461,500461,1,1378,151,32,3,68,73.0,2,ParcelEx,Express,5,5.0,4.0,Delivered,
462,500462,1,1380,135,32,27,147,150.0,2,NorthCarrier,Ground,2,3.0,4.0,Delivered,
463,500463,1,1382,118,23,16,50,54.0,1,NorthCarrier,Economy,3,4.0,4.0,Delivered,
464,500464,1,1383,20,32,27,163,164.0,1,NorthCarrier,Express,2,1.0,4.0,Delivered,
465,500465,1,1384,97,18,38,156,160.0,1,BlueRoad,Economy,3,4.0,4.0,Delivered,
466,500466,1,1385,106,5,33,60,64.0,1,BlueRoad,Ground,4,4.0,4.0,Delivered,
467,500467,1,1386,76,14,27,99,104.0,1,NorthCarrier,Ground,4,5.0,4.0,Delivered,
468,500468,1,1387,64,23,16,57,63.0,1,NorthCarrier,Ground,5,6.0,4.0,Delivered,
469,500469,1,1390,158,9,37,180,180.0,1,BlueRoad,Express,5,4.0,4.0,Delivered,
470,500470,1,1391,131,1,27,136,140.0,1,BlueRoad,Express,5,4.0,4.0,Delivered,
471,500471,2,1391,131,1,27,136,138.0,1,NorthCarrier,Ground,2,2.0,4.0,Delivered,
472,500472,1,1392,123,1,3,130,133.0,2,NorthCarrier,Ground,2,3.0,4.0,Delivered,
473,500473,1,1393,35,5,16,133,134.0,4,ParcelEx,Ground,2,1.0,4.0,Delivered,
474,500474,1,1394,24,14,12,154,155.0,1,ParcelEx,Economy,1,1.0,4.0,Delivered,
475,500475,1,1396,23,25,3,144,151.0,1,NorthCarrier,Ground,5,7.0,4.0,Delayed,HubCongestion
476,500476,1,1397,2,30,27,65,70.0,2,LineHaulOne,Ground,4,5.0,4.0,Delivered,
477,500477,1,1398,153,5,24,84,88.0,1,BlueRoad,Economy,4,4.0,4.0,Delivered,
478,500478,1,1400,81,25,36,143,144.0,2,ParcelEx,Ground,1,1.0,4.0,Delivered,
479,500479,1,1410,84,1,37,62,65.0,1,NorthCarrier,Express,3,3.0,4.0,Delivered,
480,500480,1,1415,152,32,27,50,51.0,1,BlueRoad,Express,1,1.0,4.0,Delivered,
481,500481,1,1420,177,18,12,120,125.0,2,NorthCarrier,Ground,4,5.0,4.0,Delivered,
482,500482,1,1424,19,23,3,80,86.0,1,LineHaulOne,Express,2,6.0,4.0,Delayed,Capacity
483,500483,1,1426,171,9,33,178,179.0,1,BlueRoad,Express,1,1.0,4.0,Delivered,
484,500484,1,1427,35,5,27,37,45.0,1,BlueRoad,Ground,4,8.0,4.0,Delayed,Weather
485,500485,1,1429,91,23,2,116,118.0,1,LineHaulOne,Ground,3,2.0,4.0,Delivered,
486,500486,1,1431,9,25,27,44,46.0,3,LineHaulOne,Ground,1,2.0,4.18,Delivered,
487,500487,1,1436,176,14,21,113,119.0,1,ParcelEx,Ground,5,6.0,4.0,Delivered,
488,500488,1,1439,94,31,13,140,144.0,1,BlueRoad,Express,5,4.0,4.0,Delivered,
489,500489,1,1441,20,1,2,74,75.0,2,ParcelEx,Ground,2,1.0,4.0,Delivered,
490,500490,1,1442,51,25,8,115,119.0,3,LineHaulOne,Ground,3,4.0,5.13,Delivered,
491,500491,1,1446,98,14,16,129,132.0,1,NorthCarrier,Express,2,3.0,4.0,Delivered,
492,500492,2,1446,98,14,16,129,136.0,1,NorthCarrier,Ground,3,7.0,4.0,Delayed,Customs
493,500493,1,1450,72,25,16,165,168.0,1,ParcelEx,Express,2,3.0,4.0,Delivered,
494,500494,1,1453,86,31,20,168,174.0,1,NorthCarrier,Economy,3,6.0,4.0,Delayed,Weather
495,500495,1,1454,118,31,39,61,65.0,1,NorthCarrier,Ground,5,4.0,4.0,Delivered,
496,500496,1,1457,162,18,39,57,59.0,2,ParcelEx,Ground,2,2.0,4.0,Delivered,
497,500497,1,1463,5,23,8,164,172.0,2,NorthCarrier,Express,4,8.0,4.0,Delayed,Weather
498,500498,1,1464,19,23,33,114,115.0,1,BlueRoad,Express,1,1.0,4.0,Delivered,
499,500499,1,1471,118,18,38,25,26.0,2,NorthCarrier,Ground,1,1.0,4.0,Delivered,
500,500500,1,1473,142,5,33,43,47.0,2,BlueRoad,Express,5,4.0,4.0,Delivered,
501,500501,1,1480,120,9,27,177,180.0,1,BlueRoad,Ground,4,5.0,4.0,Delivered,
502,500502,1,1481,185,31,27,147,151.0,1,LineHaulOne,Express,5,4.0,4.0,Delivered,
503,500503,2,1481,185,31,27,147,151.0,1,LineHaulOne,Express,3,4.0,4.0,Delivered,
504,500504,1,1484,182,31,39,152,155.0,1,NorthCarrier,Ground,2,3.0,4.0,Delivered,
505,500505,1,1485,177,18,11,155,160.0,1,NorthCarrier,Economy,5,5.0,4.0,Delivered,
506,500506,1,1492,2,5,16,22,25.0,1,NorthCarrier,Express,4,3.0,4.0,Delivered,
507,500507,2,1492,2,5,16,23,26.0,1,NorthCarrier,Ground,4,3.0,4.0,Delivered,
508,500508,1,1494,125,9,22,65,67.0,1,NorthCarrier,Express,3,2.0,4.0,Delivered,
509,500509,1,1499,72,5,36,165,167.0,1,NorthCarrier,Ground,2,2.0,4.0,Delivered,
510,500510,1,1503,28,31,24,31,36.0,1,LineHaulOne,Ground,5,5.0,4.0,Delivered,
511,500511,1,1505,41,9,16,126,131.0,1,ParcelEx,Ground,4,5.0,4.0,Delayed,HubCongestion
512,500512,1,1509,120,23,27,6,8.0,1,NorthCarrier,Ground,2,2.0,4.0,Delivered,
513,500513,2,1509,120,23,27,6,10.0,1,LineHaulOne,Express,4,4.0,4.0,Delivered,
514,500514,3,1509,120,23,27,6,7.0,1,NorthCarrier,Express,1,1.0,4.0,Delivered,
515,500515,1,1510,77,1,16,169,170.0,1,ParcelEx,Express,2,1.0,4.0,Delivered,
516,500516,1,1512,22,5,36,172,173.0,1,NorthCarrier,Ground,2,1.0,4.0,Delivered,
517,500517,2,1512,22,5,36,172,175.0,1,ParcelEx,Ground,2,3.0,4.0,Delivered,
518,500518,1,1515,184,1,34,151,154.0,1,BlueRoad,Ground,2,3.0,4.0,Delivered,
519,500519,1,1521,69,18,27,13,20.0,1,BlueRoad,Ground,4,7.0,4.0,Delayed,Capacity
520,500520,2,1521,69,18,27,14,17.0,1,LineHaulOne,Ground,4,3.0,4.0,Delivered,
521,500521,3,1521,69,18,27,13,14.0,1,BlueRoad,Ground,2,1.0,4.0,Delivered,
522,500522,1,1526,113,14,28,4,10.0,1,ParcelEx,Ground,5,6.0,4.0,Delivered,
523,500523,1,1531,10,31,24,125,131.0,2,NorthCarrier,Ground,5,6.0,4.0,Delivered,
524,500524,1,1533,187,25,36,107,112.0,1,ParcelEx,Express,4,5.0,4.0,Delivered,
525,500525,1,1541,123,9,3,73,76.0,5,LineHaulOne,Express,3,3.0,5.46,Delivered,
526,500526,1,1547,21,1,38,119,123.0,1,BlueRoad,Economy,3,4.0,4.0,Delivered,
527,500527,1,1548,180,23,39,108,113.0,1,NorthCarrier,Ground,2,5.0,4.0,Delayed,Weather
528,500528,2,1548,180,23,39,109,113.0,1,NorthCarrier,Economy,5,4.0,4.0,Delivered,
529,500529,1,1553,79,30,3,180,180.0,1,LineHaulOne,Ground,4,3.0,4.0,Delivered,
530,500530,2,1553,79,30,3,179,180.0,1,ParcelEx,Express,3,2.0,4.0,Delivered,
531,500531,1,1566,147,5,3,141,143.0,1,BlueRoad,Ground,2,2.0,4.0,Delivered,
532,500532,2,1566,147,5,3,142,146.0,1,LineHaulOne,Express,5,4.0,4.0,Delivered,
533,500533,1,1571,183,18,27,180,180.0,1,ParcelEx,Economy,3,2.0,4.0,Delivered,
534,500534,2,1571,183,18,27,180,180.0,1,LineHaulOne,Ground,5,4.0,4.0,Delivered,
535,500535,1,1576,29,32,29,146,147.0,3,BlueRoad,Ground,1,1.0,5.07,Delivered,
536,500536,1,1577,135,25,34,14,15.0,2,LineHaulOne,Express,2,1.0,4.07,Delivered,
537,500537,1,1579,52,32,27,158,161.0,1,LineHaulOne,Ground,3,3.0,4.0,Delivered,
538,500538,1,1583,77,1,27,69,74.0,1,NorthCarrier,Economy,4,5.0,4.0,Delivered,
539,500539,1,1584,164,14,16,161,166.0,2,ParcelEx,Express,2,5.0,4.0,Delayed,Customs
540,500540,1,1590,61,1,36,153,156.0,2,NorthCarrier,Express,3,3.0,4.0,Delivered,
